constraint_id,scope,plant_id,plant_name,region,fuel,constraint_type,constraint_name,pattern,value,target,effective_from,effective_to,compliance_cost_$,enforcement_risk,notes
plant_gpc-bartletts-ferry-5-6_58bb51__general_env_review,plant,plant_gpc-bartletts-ferry-5-6_58bb51,Bartletts Ferry 5&6,NEISO,hydro,Environmental,General environmental review buffer,buffer_days,2,milestone,1/1/2025,12/31/2029,,Medium,Default small buffer for site environmental review.
plant_southern-power-gpc-sinclair_de80ca__bat_migration_blackout,plant,plant_southern-power-gpc-sinclair_de80ca,Cape Wind,SPP,wind,Wildlife,Bat migration curtailment,blackout,22:00-06:00; Aug01-Oct15,milestone,1/1/2025,12/31/2029,150000,Medium,Nighttime curtailment during bat migration season.
plant_southern-power-gpc-sinclair_de80ca__domestic_content_surcharge,plant,plant_southern-power-gpc-sinclair_de80ca,Cape Wind,SPP,wind,Trade/Content,Domestic content premium,cost_adder,0.05,supply_chain,1/1/2025,12/31/2029,,Medium,Prefer domestic components; cost premium expectation ~5%.
PLANT_DAHLBERG_CT_135__ozone_season_derate_gas,plant,PLANT_DAHLBERG_CT_135,Dahlberg CTs 1/3/5,SPP,gas,Air,Ozone-season NOx derate,derate_pct,0.05,milestone,1/1/2025,12/31/2029,,Medium,June through Aug expected derate 5% on combustion activities.
PLANT_DAHLBERG_CT_135__pipeline_coordination_notice,plant,PLANT_DAHLBERG_CT_135,Dahlberg CTs 1/3/5,SPP,gas,Interconnection,Pipeline maintenance coordination,permit_gate,notice>=30d,milestone,1/1/2025,12/31/2029,,Medium,Certain outages require 30-day notice to gas pipeline operator.
plant_gpc-mcintosh-10-11_5a49a9__ozone_season_derate_gas,plant,plant_gpc-mcintosh-10-11_5a49a9,McIntosh 10-11,MISO,gas,Air,Ozone-season NOx derate,derate_pct,0.05,milestone,1/1/2025,12/31/2029,,Medium,Juneâ€“Aug expected derate 5% on combustion activities.
plant_gpc-mcintosh-10-11_5a49a9__pipeline_coordination_notice,plant,plant_gpc-mcintosh-10-11_5a49a9,McIntosh 10-11,MISO,gas,Interconnection,Pipeline maintenance coordination,permit_gate,notice>=30d,milestone,1/1/2025,12/31/2029,,Medium,Certain outages require 30-day notice to gas pipeline operator.
plant_eia-10020-0_6bff7e__prevailing_wage,plant,plant_eia-10020-0_6bff7e,Mountain Solar,NEISO,solar,Labor,Prevailing wage requirement,rate_multiplier,elec_crew:1.15; mech_crew:1.10,resource,1/1/2025,12/31/2029,,Medium,Apply multipliers to labor rates by craft.
plant_eia-10020-0_6bff7e__domestic_content_surcharge,plant,plant_eia-10020-0_6bff7e,Mountain Solar,NEISO,solar,Trade/Content,Domestic content premium,cost_adder,0.05,supply_chain,1/1/2025,12/31/2029,,Medium,Module/inverter domestic preference.
plant_doe-lpo-nan_6ec756__general_env_review,plant,plant_doe-lpo-nan_6ec756,Plant 1,MISO,hydro,Environmental,General environmental review buffer,buffer_days,2,milestone,1/1/2025,12/31/2029,,Medium,Default small buffer for site environmental review.
plant_eia-10011-0_9f15f6__general_env_review,plant,plant_eia-10011-0_9f15f6,Plant 11,NEISO,Hydro,Environmental,General environmental review buffer,buffer_days,2,milestone,1/1/2025,12/31/2029,,Medium,Default small buffer for site environmental review.
plant_eia-10015-0_0e2230__bat_migration_blackout,plant,plant_eia-10015-0_0e2230,Plant 17,MISO,wind,Wildlife,Bat migration curtailment,blackout,22:00-06:00; Aug01-Oct15,milestone,1/1/2025,12/31/2029,150000,Medium,Nighttime curtailment during bat migration season.
plant_eia-10015-0_0e2230__domestic_content_surcharge,plant,plant_eia-10015-0_0e2230,Plant 17,MISO,wind,Trade/Content,Domestic content premium,cost_adder,0.05,supply_chain,1/1/2025,12/31/2029,,Medium,Prefer domestic components; cost premium expectation ~5%.
plant_eia-10018-0_66d132__prevailing_wage,plant,plant_eia-10018-0_66d132,Plant 20,ERCOT,solar,Labor,Prevailing wage requirement,rate_multiplier,elec_crew:1.15; mech_crew:1.10,resource,1/1/2025,12/31/2029,,Medium,Apply multipliers to labor rates by craft.
plant_eia-10018-0_66d132__domestic_content_surcharge,plant,plant_eia-10018-0_66d132,Plant 20,ERCOT,solar,Trade/Content,Domestic content premium,cost_adder,0.05,supply_chain,1/1/2025,12/31/2029,,Medium,Module/inverter domestic preference.
plant_eia-10022-0_7eb25e__general_env_review,plant,plant_eia-10022-0_7eb25e,Plant 28,MISO,coal,Environmental,General environmental review buffer,buffer_days,2,milestone,1/1/2025,12/31/2029,,Medium,Default small buffer for site environmental review.
plant_eia-10020-0_6bff7e__workover_window_restriction,plant,plant_eia-10020-0_6bff7e,Plant 22,MISO,geothermal,Environmental,Seasonal workover restriction,blackout,Mar01-Apr30,sustainment,1/1/2025,12/31/2029,,Medium,Avoid sensitive season for wildlife/habitat during heavy well work.
plant_eia-10020-0_6bff7e__h2s_emissions_controls,plant,plant_eia-10020-0_6bff7e,Plant 22,MISO,geothermal,Air,H2S emissions control buffer,buffer_days,5,milestone,1/1/2025,12/31/2029,80000,Medium,Add review/controls buffer around high-H2S activities.
plant_eia-22__geothermal_well_plugging_permit,plant,plant_eia-22,Plant 22,MISO,geothermal,Regulatory,Geothermal well plugging permit,permit_gate,notice>=30d,milestone,1/1/2025,12/31/2029,,Medium,EPA Underground Injection Control program approval required.
plant_eia-22__groundwater_monitoring,plant,plant_eia-22,Plant 22,MISO,geothermal,Environmental,Groundwater contamination testing,buffer_days,14,milestone,1/1/2025,12/31/2029,120000,Medium,Geothermal fluid contamination testing requirements.
plant_eia-22__seasonal_demolition_restriction,plant,plant_eia-22,Plant 22,MISO,geothermal,Environmental,Seasonal demolition restriction,blackout,Nov01-Mar31,sustainment,1/1/2025,12/31/2029,,Medium,Avoid winter conditions for geothermal demolition.
plant_eia-10009-0_97aed2__general_env_review,plant,plant_eia-10009-0_97aed2,Plant 9,SPP,coal,Environmental,General environmental review buffer,buffer_days,2,milestone,1/1/2025,12/31/2029,,Medium,Default small buffer for site environmental review.
PLANT_GASTON_U2__refuel_outage_buffer,plant,PLANT_GASTON_U2,Plant Gaston U2,ERCOT,nuclear,Regulatory,Refueling outage planning buffer,buffer_days,15,sustainment,1/1/2025,12/31/2029,,Medium,Nuclear refueling/outage scopes require extended planning buffer.
PLANT_GASTON_U2__security_restrictions_heavy_lifts,plant,PLANT_GASTON_U2,Plant Gaston U2,ERCOT,nuclear,Security,Heavy-lift security restriction,permit_gate,pre-approval,milestone,1/1/2025,12/31/2029,,Medium,Heavy lifts require pre-approval and security coordination.
PLANT_GASTON_U3__bat_migration_blackout,plant,PLANT_GASTON_U3,Plant Gaston U3,NEISO,wind,Wildlife,Bat migration curtailment,blackout,22:00-06:00; Aug01-Oct15,milestone,1/1/2025,12/31/2029,150000,Medium,Nighttime curtailment during bat migration season.
PLANT_GASTON_U3__domestic_content_surcharge,plant,PLANT_GASTON_U3,Plant Gaston U3,NEISO,wind,Trade/Content,Domestic content premium,cost_adder,0.05,supply_chain,1/1/2025,12/31/2029,,Medium,Prefer domestic components; cost premium expectation ~5%.
plant_eia-10023-0_8943bb__general_env_review,plant,plant_eia-10023-0_8943bb,PLANT_BOWEN_U1,SPP,coal,Environmental,General environmental review buffer,buffer_days,2,milestone,1/1/2025,12/31/2029,,Medium,Default small buffer for site environmental review.
plant_gpc-morgan-falls_850259__ozone_season_derate_gas,plant,plant_gpc-morgan-falls_850259,Robins AFB; Moody AFB,PJM,gas,Air,Ozone-season NOx derate,derate_pct,0.05,milestone,1/1/2025,12/31/2029,,Medium,June through Aug expected derate 5% on combustion activities.
plant_gpc-morgan-falls_850259__pipeline_coordination_notice,plant,plant_gpc-morgan-falls_850259,Robins AFB; Moody AFB,PJM,gas,Interconnection,Pipeline maintenance coordination,permit_gate,notice>=30d,milestone,1/1/2025,12/31/2029,,Medium,Certain outages require 30-day notice to gas pipeline operator.
plant_gpc-vogtle-3_f743db__refuel_outage_buffer,plant,plant_gpc-vogtle-3_f743db,Vogtle 3,ERCOT,nuclear,Regulatory,Refueling outage planning buffer,buffer_days,15,sustainment,1/1/2025,12/31/2029,,Medium,Nuclear refueling/outage scopes require extended planning buffer.
plant_gpc-vogtle-3_f743db__security_restrictions_heavy_lifts,plant,plant_gpc-vogtle-3_f743db,Vogtle 3,ERCOT,nuclear,Security,Heavy-lift security restriction,permit_gate,pre-approval,milestone,1/1/2025,12/31/2029,,Medium,Heavy lifts require pre-approval and security coordination.
ERCOT__interconnection_outage_notice,region,,,ERCOT,,Interconnection,Planned outage coordination,permit_gate,notice>=14d,milestone,1/1/2025,12/31/2029,,Medium,Planned generation outages require a 14-day notice to ISO/BA.
ERCOT__extreme_heat_emergency,region,,,ERCOT,,Reliability,Extreme heat emergency blackout,blackout,No derates during NERC EEA Level 2+ alerts,milestone,1/1/2025,12/31/2029,,Medium,Work that reduces capacity may be disallowed during grid emergencies.
MISO__interconnection_outage_notice,region,,,MISO,,Interconnection,Planned outage coordination,permit_gate,notice>=14d,milestone,1/1/2025,12/31/2029,,Medium,Planned generation outages require a 14-day notice to ISO/BA.
MISO__extreme_heat_emergency,region,,,MISO,,Reliability,Extreme heat emergency blackout,blackout,No derates during NERC EEA Level 2+ alerts,milestone,1/1/2025,12/31/2029,,Medium,Work that reduces capacity may be disallowed during grid emergencies.
NEISO__interconnection_outage_notice,region,,,NEISO,,Interconnection,Planned outage coordination,permit_gate,notice>=14d,milestone,1/1/2025,12/31/2029,,Medium,Planned generation outages require a 14-day notice to ISO/BA.
NEISO__extreme_heat_emergency,region,,,NEISO,,Reliability,Extreme heat emergency blackout,blackout,No derates during NERC EEA Level 2+ alerts,milestone,1/1/2025,12/31/2029,,Medium,Work that reduces capacity may be disallowed during grid emergencies.
PJM__interconnection_outage_notice,region,,,PJM,,Interconnection,Planned outage coordination,permit_gate,notice>=14d,milestone,1/1/2025,12/31/2029,,Medium,Planned generation outages require a 14-day notice to ISO/BA.
PJM__extreme_heat_emergency,region,,,PJM,,Reliability,Extreme heat emergency blackout,blackout,No derates during NERC EEA Level 2+ alerts,milestone,1/1/2025,12/31/2029,,Medium,Work that reduces capacity may be disallowed during grid emergencies.
SPP__interconnection_outage_notice,region,,,SPP,,Interconnection,Planned outage coordination,permit_gate,notice>=14d,milestone,1/1/2025,12/31/2029,,Medium,Planned generation outages require a 14-day notice to ISO/BA.
SPP__extreme_heat_emergency,region,,,SPP,,Reliability,Extreme heat emergency blackout,blackout,No derates during NERC EEA Level 2+ alerts,milestone,1/1/2025,12/31/2029,,Medium,Work that reduces capacity may be disallowed during grid emergencies.
