milestone_id,project_id,name,type,planned_start_p50,planned_start_p90,planned_end_p50,planned_end_p90,duration_days_p50,duration_days_p90,gating_flag,external_dependency,notes,_name_lower,_end,_start,_dt_pref,owner_id,owner_name,progress_pct,status,last_update_utc,_phase_order,_dur_days,filled_start,filled_end,capacity_effect,capacity_delta_mw_override
MS_BESS-PV-COLOC-200-200_engineering,BESS-PV-COLOC-200-200,Engineering,engineering,12/31/2027,12/31/2027,4/29/2028,10/6/2028,120,160,FALSE,,solar / WECC,engineering,,,4/29/2028,,,,,,1,,,,none,
MS_BESS-PV-COLOC-200-200_procurement,BESS-PV-COLOC-200-200,Procurement,procurement,10/31/2028,12/10/2028,4/29/2029,12/5/2029,180,220,FALSE,,solar / WECC,procurement,,,10/26/2028,,,,,,2,,,,none,
MS_BESS-PV-COLOC-200-200_construction,BESS-PV-COLOC-200-200,Construction,construction,12/30/2029,2/8/2030,8/27/2030,6/3/2031,240,280,FALSE,,solar / WECC,construction,,,6/23/2029,,,,,,3,,,,none,
MS_BESS-PV-COLOC-200-200_interconnection,BESS-PV-COLOC-200-200,Interconnection,interconnection,6/28/2031,8/7/2031,12/19/2032,7/22/2034,540,580,TRUE,ISO queue,solar / WECC,interconnection,,,12/15/2030,,,,,,4,,,,build,60
MS_BESS-PV-COLOC-200-200_commissioning,BESS-PV-COLOC-200-200,Commissioning,commissioning,8/16/2034,9/25/2034,9/15/2034,11/24/2034,30,70,TRUE,,solar / WECC,commissioning,,,1/14/2031,,,,,,5,,,,build,140
Cape_Wind_new_build_engineering,Cape_Wind_new_build,Engineering,engineering,4/1/2026,5/11/2026,9/28/2026,5/6/2027,180,220,FALSE,,wind / WECC,engineering,,,6/30/2023,,,,,,1,,,,none,
Cape_Wind_new_build_procurement,Cape_Wind_new_build,Procurement,procurement,6/5/2027,7/15/2027,1/31/2028,11/6/2028,240,280,FALSE,,wind / WECC,procurement,,,2/25/2024,,,,,,2,,,,none,
Cape_Wind_new_build_construction,Cape_Wind_new_build,Construction,construction,5/9/2033,6/18/2033,5/4/2034,6/13/2034,360,400,FALSE,,wind / WECC. UPDATED: Delayed to after tall_wind_demo commissioning validation (11/20/2032 + 270 day lag),construction,,,11/5/2032,,,,,,3,,,,none,
Cape_Wind_new_build_interconnection,Cape_Wind_new_build,Interconnection,interconnection,7/23/2034,9/1/2034,1/17/2036,6/18/2037,540,580,TRUE,ISO queue,wind / WECC,interconnection,,,3/1/2035,,,,,,4,,,,build,270
Cape_Wind_new_build_commissioning,Cape_Wind_new_build,Commissioning,commissioning,8/27/2037,10/6/2037,10/26/2037,1/24/2038,45,85,TRUE,,wind / WECC,commissioning,,,4/16/2037,,,,,,5,,,,build,630
HY-BARTLETT56-MOD_MS1,HY-BARTLETT56-MOD,Project kickoff,Gate,1/1/2027,2/10/2027,1/31/2027,4/11/2027,30,70,TRUE,,Project control point aligned to modernization scope.,project kickoff,,,1/1/2027,,,,,,0,,,,none,
HY-BARTLETT56-MOD_MS2,HY-BARTLETT56-MOD,30% design complete,Design,5/11/2027,6/20/2027,4/25/2028,5/20/2029,350,390,FALSE,,Design progress gate; verify discipline packages and freeze IFC set.,30% design complete,,,6/6/2027,,,,,,1,,,,none,
HY-BARTLETT56-MOD_MS3,HY-BARTLETT56-MOD,Long-lead POs placed,Procurement,6/19/2029,7/29/2029,2/24/2030,12/11/2030,250,290,FALSE,,"Issue POs for long-lead items (turbine parts, DCS hardware, major valves).",long-lead pos placed,,,11/9/2027,,,,,,2,,,,none,
HY-BARTLETT56-MOD_MS4,HY-BARTLETT56-MOD,90% design / IFC,Design,1/10/2031,2/19/2031,5/30/2031,11/26/2031,140,180,TRUE,,Design progress gate; verify discipline packages and freeze IFC set.,90% design / ifc,,,4/14/2028,,,,,,1,,,,none,
HY-BARTLETT56-MOD_MS5,HY-BARTLETT56-MOD,Outage start / mobilization,Execution,12/26/2031,2/4/2032,1/25/2032,4/4/2032,30,70,FALSE,,"Begin outage window; lock LOTO, mobilize contractors, stage materials.",outage start / mobilization,,,9/17/2028,,,,,,6,,,,none,
HY-BARTLETT56-MOD_MS6,HY-BARTLETT56-MOD,Mechanical complete,Execution,5/4/2032,6/13/2032,5/24/2032,7/23/2032,20,60,FALSE,,All mechanical scopes installed; start pre-commissioning checklists.,mechanical complete,,,2/21/2029,,,,,,6,,,,build,20
HY-BARTLETT56-MOD_MS7,HY-BARTLETT56-MOD,Commissioning complete,Commissioning,8/22/2032,10/1/2032,10/31/2032,2/18/2033,70,110,FALSE,,"I&C loop checks, startups, performance tests; punchlist burn-down.",commissioning complete,,,7/27/2029,,,,,,5,,,,build,130
HY-BARTLETT56-MOD_MS8,HY-BARTLETT56-MOD,Return to service,Closeout,3/20/2033,4/29/2033,4/9/2033,6/8/2033,20,60,TRUE,,Unit synchronized; performance KPIs stable; closeout docs started.,return to service,,,12/31/2029,,,,,,6,,,,build,
hydro_mod_sinclair_MS1,hydro_mod_sinclair,Project kickoff,Gate,1/1/2024,2/10/2024,1/31/2024,4/10/2024,30,70,TRUE,,Project control point aligned to modernization scope.,project kickoff,,,1/1/2024,,,,,,0,,,,modernize,
hydro_mod_sinclair_MS2,hydro_mod_sinclair,30% design complete,Design,3/1/2024,4/10/2024,2/14/2025,3/11/2026,350,390,FALSE,,Design progress gate; verify discipline packages and freeze IFC set.,30% design complete,,,9/17/2024,,,,,,1,,,,modernize,
hydro_mod_sinclair_MS3,hydro_mod_sinclair,50% design,Design,3/16/2025,4/25/2025,3/1/2026,3/26/2027,350,390,FALSE,,Design progress gate; verify discipline packages and freeze IFC set.,50% design complete,,,6/5/2025,,,,,,1,,,,modernize,
hydro_mod_sinclair_MS4,hydro_mod_sinclair,90% design / IFC,Design,3/31/2026,5/10/2026,8/18/2026,2/14/2027,140,180,TRUE,,Design progress gate; verify discipline packages and freeze IFC set.,90% design / ifc,,,2/21/2026,,,,,,1,,,,modernize,
hydro_mod_sinclair_MS5,hydro_mod_sinclair,Outage start / mobilization,Execution,9/17/2026,10/27/2026,10/17/2026,12/26/2026,30,70,FALSE,,"Begin outage window; lock LOTO, mobilize contractors, stage materials.",outage start / mobilization,,,11/9/2026,,,,,,6,,,,modernize,
hydro_mod_sinclair_MS6,hydro_mod_sinclair,Mechanical complete,Execution,11/16/2026,12/26/2026,12/6/2026,2/4/2027,20,60,FALSE,,All mechanical scopes installed; start pre-commissioning checklists.,mechanical complete,,,7/28/2027,,,,,,6,,,,modernize,50
hydro_mod_sinclair_MS7,hydro_mod_sinclair,Commissioning complete,Commissioning,1/5/2027,2/14/2027,3/16/2027,7/4/2027,70,110,FALSE,,"I&C loop checks, startups, performance tests; punchlist burn-down.",commissioning complete,,,4/14/2028,,,,,,5,,,,modernize,150
hydro_mod_sinclair_MS8,hydro_mod_sinclair,Return to service,Closeout,4/15/2027,5/25/2027,5/5/2027,7/4/2027,20,60,TRUE,,Unit synchronized; performance KPIs stable; closeout docs started.,return to service,,,12/31/2028,,,,,,6,,,,modernize,0
MCI-NGC5_MS1,MCI-NGC5,Retirement plan approved,Gate,1/1/2026,2/10/2026,1/21/2026,3/22/2026,20,60,TRUE,,"Stakeholder sign-off, regulatory notifications initiated.",retirement plan approved,,,1/1/2026,,,,,,6,,,,retire,-20.6
MCI-NGC5_MS2,MCI-NGC5,Fuel isolation & purge complete,Execution,5/1/2026,6/10/2026,6/20/2026,9/18/2026,50,90,FALSE,,"Fuel systems isolated, lines purged; environmental controls in place.",fuel isolation & purge complete,,,2/22/2026,,,,,,4,,,,retire,-30.9
MCI-NGC5_MS3,MCI-NGC5,Decommissioning start,Execution,10/28/2026,12/7/2026,11/27/2026,2/5/2027,30,70,FALSE,,"Begin de-energization, draining, and asset safing activities.",decommissioning start,,,4/15/2026,,,,,,5,,,,retire,-30.9
MCI-NGC5_MS4,MCI-NGC5,Hazmat/ash handling secured,Execution,3/17/2027,4/26/2027,5/26/2027,9/13/2027,70,110,FALSE,,Secure and process ash/hazmat per procedures; waste handling plans.,hazmat/ash handling secured,,,6/6/2026,,,,,,6,,,,retire,-10.3
MCI-NGC5_MS5,MCI-NGC5,Equipment de-energized & cleared,Execution,10/23/2027,12/2/2027,1/31/2028,6/19/2028,100,140,FALSE,,All equipment verified de-energized; LOTO and clearances documented.,equipment de-energized & cleared,,,7/28/2026,,,,,,5,,,,none,
MCI-NGC5_MS6,MCI-NGC5,Demolition start,Execution,7/29/2028,9/7/2028,8/28/2028,11/6/2028,30,70,FALSE,,Demolition contractor mobilized; structural works commence.,demolition start,,,9/18/2026,,,,,,6,,,,retire,-10.3
MCI-NGC5_MS7,MCI-NGC5,Site remediation complete,Execution,12/16/2028,1/25/2029,1/5/2029,3/6/2029,20,60,FALSE,,Soil/groundwater remediation activities to regulatory targets.,site remediation complete,,,11/9/2026,,,,,,6,,,,none,
MCI-NGC5_MS8,MCI-NGC5,Closure / turnover,Closeout,4/15/2029,5/25/2029,5/5/2029,7/4/2029,20,60,TRUE,,Final inspections and turnover to site operations/owner.,closure / turnover,,,1/1/2027,,,,,,6,,,,none,
MCI-NGCC-10-11-7FA05_MS1,MCI-NGCC-10-11-7FA05,Project kickoff,Gate,1/1/2029,2/10/2029,1/31/2029,4/11/2029,30,70,TRUE,,Project control point aligned to modernization scope.,project kickoff,,,1/1/2029,,,,,,0,,,,none,
MCI-NGCC-10-11-7FA05_MS2,MCI-NGCC-10-11-7FA05,30% design complete,Design,5/21/2029,6/30/2029,5/6/2030,5/31/2031,350,390,FALSE,,Design progress gate; verify discipline packages and freeze IFC set.,30% design complete,,,2/9/2029,,,,,,1,,,,none,
MCI-NGCC-10-11-7FA05_MS3,MCI-NGCC-10-11-7FA05,Long-lead POs placed,Procurement,7/10/2031,8/19/2031,7/30/2031,9/28/2031,20,60,FALSE,,"Issue POs for long-lead items (turbine parts, DCS hardware, major valves).",long-lead pos placed,,,3/20/2029,,,,,,2,,,,none,
MCI-NGCC-10-11-7FA05_MS4,MCI-NGCC-10-11-7FA05,90% design / IFC,Design,11/7/2031,12/17/2031,3/26/2032,9/22/2032,140,180,TRUE,,Design progress gate; verify discipline packages and freeze IFC set.,90% design / ifc,,,4/28/2029,,,,,,1,,,,none,
MCI-NGCC-10-11-7FA05_MS5,MCI-NGCC-10-11-7FA05,Outage start / mobilization,Execution,7/29/2032,9/7/2032,8/28/2032,11/6/2032,30,70,FALSE,,"Begin outage window; lock LOTO, mobilize contractors, stage materials. UPDATED: Sequenced before HY-BARTLETT56-MOD outage for regional reliability",outage start / mobilization,,,4/20/2032,,,,,,6,,,,modernize,-194
MCI-NGCC-10-11-7FA05_MS6,MCI-NGCC-10-11-7FA05,Mechanical complete,Execution,12/16/2032,1/25/2033,1/5/2033,3/6/2033,20,60,FALSE,,All mechanical scopes installed; start pre-commissioning checklists.,mechanical complete,,,10/26/2032,,,,,,6,,,,modernize,194
MCI-NGCC-10-11-7FA05_MS7,MCI-NGCC-10-11-7FA05,Commissioning complete,Commissioning,4/15/2033,5/25/2033,6/24/2033,10/12/2033,70,110,FALSE,,"I&C loop checks, startups, performance tests; punchlist burn-down. UPDATED: Gated by ppa_dahlberg commissioning + 60 day lag",commissioning complete,,,2/14/2033,,,,,,5,,,,modernize,200
MCI-NGCC-10-11-7FA05_MS8,MCI-NGCC-10-11-7FA05,Return to service,Closeout,11/21/2033,1/10/2034,12/11/2033,2/9/2034,20,60,TRUE,,Unit synchronized; performance KPIs stable; closeout docs started.,return to service,,,9/22/2033,,,,,,6,,,,modernize,0
NU-UP-retire_MS1,NU-UP-retire,Retirement plan approved,Gate,6/14/2031,8/3/2031,7/14/2031,10/12/2031,20,60,TRUE,,"Stakeholder sign-off, regulatory notifications initiated. UPDATED: Delayed to after NU-UP-VOG2 return to service",retirement plan approved,,,6/14/2031,,,,,,6,,,,retire,-900
NU-UP-retire_MS2,NU-UP-retire,Fuel isolation & purge complete,Execution,12/1/2031,1/20/2032,1/20/2032,4/19/2032,50,90,FALSE,,"Fuel systems isolated, lines purged; environmental controls in place.",fuel isolation & purge complete,,,9/1/2031,,,,,,4,,,,retire,-1350
NU-UP-retire_MS3,NU-UP-retire,Decommissioning start,Execution,5/29/2032,7/18/2032,6/28/2032,9/26/2032,30,70,FALSE,,"Begin de-energization, draining, and asset safing activities. UPDATED: Gated by NU-UP-VOG2 RTS (3/16/2031) + 120 day lag",decommissioning start,,,3/16/2032,,,,,,5,,,,retire,-1350
NU-UP-retire_MS4,NU-UP-retire,Hazmat/ash handling secured,Execution,11/5/2032,12/25/2032,1/14/2033,4/14/2033,70,110,FALSE,,Secure and process ash/hazmat per procedures; waste handling plans.,hazmat/ash handling secured,,,8/16/2032,,,,,,6,,,,retire,-450
NU-UP-retire_MS5,NU-UP-retire,Equipment de-energized & cleared,Execution,5/24/2033,7/13/2033,10/1/2033,2/28/2034,100,140,FALSE,,All equipment verified de-energized; LOTO and clearances documented.,equipment de-energized & cleared,,,3/14/2033,,,,,,5,,,,none,
NU-UP-retire_MS6,NU-UP-retire,Demolition start,Execution,4/9/2034,5/29/2034,5/9/2034,8/7/2034,30,70,FALSE,,Demolition contractor mobilized; structural works commence.,demolition start,,,11/19/2033,,,,,,6,,,,retire,-450
NU-UP-retire_MS7,NU-UP-retire,Site remediation complete,Execution,9/16/2034,11/5/2034,10/6/2034,1/4/2035,20,60,FALSE,,Soil/groundwater remediation activities to regulatory targets.,site remediation complete,,,6/18/2034,,,,,,6,,,,none,
NU-UP-retire_MS8,NU-UP-retire,Closure / turnover,Closeout,2/23/2035,4/14/2035,3/25/2035,6/23/2035,20,60,TRUE,,Final inspections and turnover to site operations/owner.,closure / turnover,,,11/4/2034,,6/14/2031,8/23/2035,,,6,,,,none,
NU-UP-VOG1_MS1,NU-UP-VOG1,Project kickoff,Gate,1/1/2025,2/10/2025,1/31/2025,4/11/2025,30,70,TRUE,,Project control point aligned to modernization scope.,project kickoff,,,1/1/2000,,,,,,0,,,,none,
NU-UP-VOG1_MS2,NU-UP-VOG1,30% design complete,Design,5/21/2025,6/30/2025,5/6/2026,5/31/2027,350,390,FALSE,,Design progress gate; verify discipline packages and freeze IFC set.,30% design complete,,,7/27/2004,,,,,,1,,,,none,
NU-UP-VOG1_MS3,NU-UP-VOG1,Long-lead POs placed,Procurement,7/10/2027,8/19/2027,7/30/2027,9/28/2027,20,60,FALSE,,"Issue POs for long-lead items (turbine parts, DCS hardware, major valves).",long-lead pos placed,,,2/21/2009,,,,,,2,,,,none,
NU-UP-VOG1_MS4,NU-UP-VOG1,90% design / IFC,Design,11/7/2027,12/17/2027,3/26/2028,9/22/2028,140,180,TRUE,,Design progress gate; verify discipline packages and freeze IFC set.,90% design / ifc,,,9/17/2013,,,,,,1,,,,none,
NU-UP-VOG1_MS5,NU-UP-VOG1,Outage start / mobilization,Execution,11/1/2028,12/11/2028,12/1/2028,2/9/2029,30,70,FALSE,,"Begin outage window; lock LOTO, mobilize contractors, stage materials.",outage start / mobilization,,,4/14/2018,,,,,,6,,,,modernize,-500
NU-UP-VOG1_MS6,NU-UP-VOG1,Mechanical complete,Execution,3/21/2029,4/30/2029,4/10/2029,6/9/2029,20,60,FALSE,,All mechanical scopes installed; start pre-commissioning checklists.,mechanical complete,,,11/8/2022,,,,,,6,,,,modernize,500
NU-UP-VOG1_MS7,NU-UP-VOG1,Commissioning complete,Commissioning,7/19/2029,8/28/2029,9/27/2029,1/15/2030,70,110,FALSE,,"I&C loop checks, startups, performance tests; punchlist burn-down.",commissioning complete,,,6/5/2027,,,,,,5,,,,modernize,500
NU-UP-VOG1_MS8,NU-UP-VOG1,Return to service,Closeout,2/24/2030,4/5/2030,3/16/2030,5/15/2030,20,60,TRUE,,Unit synchronized; performance KPIs stable; closeout docs started.,return to service,,,12/31/2031,,,,,,6,,,,modernize,500
NU-UP-VOG2_MS1,NU-UP-VOG2,Project kickoff,Gate,1/1/2026,2/10/2026,1/31/2026,4/11/2026,30,70,TRUE,,Project control point aligned to modernization scope.,project kickoff,,,1/1/2000,,,,,,0,,,,none,
NU-UP-VOG2_MS2,NU-UP-VOG2,30% design complete,Design,5/21/2026,6/30/2026,5/6/2027,5/30/2028,350,390,FALSE,,Design progress gate; verify discipline packages and freeze IFC set.,30% design complete,,,4/14/2004,,,,,,1,,,,none,
NU-UP-VOG2_MS3,NU-UP-VOG2,Long-lead POs placed,Procurement,7/9/2028,8/18/2028,7/29/2028,9/27/2028,20,60,FALSE,,"Issue POs for long-lead items (turbine parts, DCS hardware, major valves).",long-lead pos placed,,,7/27/2008,,,,,,2,,,,none,
NU-UP-VOG2_MS4,NU-UP-VOG2,90% design / IFC,Design,11/6/2028,12/16/2028,3/26/2029,9/22/2029,140,180,TRUE,,Design progress gate; verify discipline packages and freeze IFC set.,90% design / ifc,,,11/8/2012,,,,,,1,,,,none,
NU-UP-VOG2_MS5,NU-UP-VOG2,Outage start / mobilization,Execution,11/1/2029,12/11/2029,12/1/2029,2/9/2030,30,70,FALSE,,"Begin outage window; lock LOTO, mobilize contractors, stage materials.",outage start / mobilization,,,2/21/2017,,,,,,6,,,,modernize,-800
NU-UP-VOG2_MS6,NU-UP-VOG2,Mechanical complete,Execution,3/21/2030,4/30/2030,4/10/2030,6/9/2030,20,60,FALSE,,All mechanical scopes installed; start pre-commissioning checklists.,mechanical complete,,,6/5/2021,,,,,,6,,,,modernize,800
NU-UP-VOG2_MS7,NU-UP-VOG2,Commissioning complete,Commissioning,7/19/2030,8/28/2030,9/27/2030,1/15/2031,70,110,FALSE,,"I&C loop checks, startups, performance tests; punchlist burn-down.",commissioning complete,,,9/17/2025,,,,,,5,,,,modernize,250
